epoch,train_loss,train_acc,train_f1,val_loss,val_acc,macro_f1,lr,f1_AKIEC,f1_BCC,f1_BEN_OTH,f1_BKL,f1_DF,f1_INF,f1_MAL_OTH,f1_MEL,f1_NV,f1_SCCKA,f1_VASC
1,0.941027,0.575777,0.137976,0.842137,0.694483,0.169383,1e-06,0.160338,0.640152,0.014388,0.147368,0.0,0.024845,0.0,0.17931,0.345499,0.282353,0.068966
2,0.549343,0.867018,0.260552,0.426555,0.909438,0.400828,3.4e-05,0.363636,0.866667,0.0,0.380952,0.571429,0.285714,0.0,0.467066,0.735632,0.564103,0.173913
3,0.467397,0.88789,0.352343,0.419511,0.891048,0.376656,6.7e-05,0.287671,0.861111,0.0,0.344498,0.421053,0.181818,0.0,0.422111,0.700508,0.48,0.444444
4,0.419194,0.897631,0.382302,0.440998,0.919153,0.439611,0.0001,0.330827,0.86116,0.0,0.425926,0.571429,0.216216,0.0,0.425532,0.737968,0.666667,0.6
5,0.382989,0.90654,0.42555,0.384954,0.920021,0.434663,9.96623e-05,0.474227,0.866055,0.222222,0.449438,0.275862,0.176471,0.0,0.52349,0.699507,0.632479,0.461538
6,0.3455,0.916744,0.47447,0.37232,0.924358,0.485317,9.86536e-05,0.470588,0.899083,0.222222,0.423077,0.615385,0.266667,0.0,0.45614,0.756757,0.628571,0.6
7,0.311503,0.924146,0.513898,0.368375,0.934768,0.486033,9.69876e-05,0.436364,0.893773,0.0,0.428571,0.571429,0.4,0.0,0.58209,0.802326,0.660377,0.571429
8,0.282212,0.932649,0.537574,0.384473,0.93043,0.472834,9.4687e-05,0.459459,0.889734,0.0,0.466667,0.8,0.181818,0.0,0.478528,0.77381,0.651163,0.5
9,0.26386,0.937925,0.607127,0.39833,0.938237,0.487428,9.17826e-05,0.511628,0.891791,0.0,0.456522,0.444444,0.222222,0.0,0.666667,0.758242,0.660194,0.75
10,0.238357,0.943916,0.614987,0.481281,0.939972,0.484026,8.83139e-05,0.465753,0.887661,0.0,0.504202,0.428571,0.32,0.0,0.607843,0.730337,0.629921,0.75
11,0.216503,0.950274,0.663876,0.413989,0.936676,0.498768,8.43278e-05,0.567568,0.882129,0.111111,0.459459,0.545455,0.25,0.0,0.559441,0.765714,0.678899,0.666667
12,0.192436,0.955338,0.70386,0.412046,0.938411,0.46969,7.98781e-05,0.415094,0.886364,0.0,0.534351,0.571429,0.235294,0.0,0.529801,0.827586,0.666667,0.5
13,0.1727,0.960111,0.726575,0.425813,0.949167,0.556893,7.5025e-05,0.56,0.888031,0.222222,0.54878,0.666667,0.4,0.0,0.661017,0.831169,0.597938,0.75
14,0.154995,0.964692,0.748364,0.480947,0.950208,0.487134,6.98342e-05,0.547945,0.887189,0.0,0.544,0.421053,0.363636,0.0,0.666667,0.787879,0.711538,0.428571
15,0.139411,0.97105,0.809606,0.493862,0.9483,0.526802,6.43758e-05,0.523077,0.887619,0.2,0.571429,0.571429,0.235294,0.0,0.634615,0.761364,0.66,0.75
16,0.120224,0.97335,0.823461,0.534943,0.958362,0.564357,5.87237e-05,0.566667,0.905455,0.25,0.596491,0.571429,0.285714,0.0,0.666667,0.822086,0.686275,0.857143
17,0.112782,0.975244,0.829782,0.616502,0.951423,0.52406,5.29543e-05,0.575758,0.894434,0.222222,0.518072,0.461538,0.333333,0.0,0.597403,0.835443,0.659794,0.666667
18,0.098997,0.978722,0.85627,0.581084,0.954198,0.575322,4.71457e-05,0.590164,0.887619,0.2,0.48855,0.727273,0.5,0.0,0.727273,0.805031,0.652632,0.75
19,0.096298,0.980597,0.877136,0.677659,0.954025,0.559598,4.13763e-05,0.533333,0.895636,0.2,0.537815,0.545455,0.666667,0.0,0.632911,0.748603,0.645161,0.75
20,0.080611,0.982471,0.873027,0.72416,0.954545,0.565318,3.57242e-05,0.603774,0.887661,0.222222,0.484375,0.666667,0.5,0.0,0.666667,0.792683,0.644444,0.75
21,0.078512,0.984443,0.891395,0.710573,0.955933,0.558099,3.02658e-05,0.586207,0.898876,0.25,0.479339,0.6,0.461538,0.0,0.688172,0.794521,0.630435,0.75
22,0.07043,0.986568,0.929829,0.724593,0.955933,0.562027,2.5075e-05,0.52459,0.887661,0.25,0.525424,0.6,0.5,0.0,0.694737,0.783217,0.666667,0.75
23,0.070437,0.986356,0.911167,0.688218,0.956974,0.565147,2.02219e-05,0.590164,0.893058,0.222222,0.540984,0.545455,0.5,0.0,0.694737,0.813333,0.666667,0.75
24,0.062236,0.987651,0.907931,0.734491,0.958362,0.560994,1.57722e-05,0.566038,0.900735,0.25,0.526316,0.545455,0.5,0.0,0.686275,0.816901,0.629213,0.75
25,0.061663,0.988095,0.921439,0.725218,0.956627,0.556763,1.17861e-05,0.557377,0.891386,0.25,0.509091,0.545455,0.5,0.0,0.681818,0.807692,0.631579,0.75
26,0.058541,0.989854,0.930069,0.745185,0.957148,0.57292,8.3174e-06,0.571429,0.88806,0.25,0.495413,0.666667,0.5,0.0,0.717391,0.789474,0.673684,0.75
