epoch,train_loss,train_acc,train_f1,val_loss,val_acc,macro_f1,lr,f1_AKIEC,f1_BCC,f1_BEN_OTH,f1_BKL,f1_DF,f1_INF,f1_MAL_OTH,f1_MEL,f1_NV,f1_SCCKA,f1_VASC
1,0.890353,0.684204,0.137776,0.774433,0.813498,0.160968,1e-06,0.107383,0.62936,0.0,0.165323,0.0,0.0,0.0,0.257627,0.362617,0.248337,0.0
2,0.564205,0.867041,0.259612,0.45584,0.884195,0.359148,5.05e-05,0.309211,0.84749,0.0,0.314488,0.380952,0.0,0.0,0.371795,0.630072,0.613861,0.482759
3,0.474891,0.890007,0.354615,0.420579,0.907529,0.412909,0.0001,0.350168,0.857143,0.153846,0.391534,0.5,0.222222,0.0,0.501629,0.629808,0.602317,0.333333
4,0.412517,0.901479,0.407832,0.412475,0.920802,0.463389,9.96859e-05,0.420513,0.866419,0.105263,0.393013,0.666667,0.322581,0.0,0.594828,0.658537,0.584615,0.484848
5,0.367479,0.911845,0.452185,0.407296,0.92271,0.415634,9.87476e-05,0.443299,0.870909,0.166667,0.469565,0.291667,0.188679,0.0,0.445623,0.702413,0.606061,0.387097
6,0.330334,0.922406,0.503402,0.362776,0.92696,0.474338,9.7197e-05,0.437209,0.878469,0.3,0.424731,0.355556,0.186047,0.0,0.633028,0.733333,0.569343,0.7
7,0.299467,0.930539,0.529903,0.405358,0.936416,0.480516,9.50534e-05,0.555556,0.885845,0.2,0.51046,0.421053,0.153846,0.0,0.495522,0.687664,0.638889,0.736842
8,0.265267,0.93891,0.61851,0.401066,0.926787,0.451326,9.23439e-05,0.446927,0.878968,0.148148,0.442529,0.5,0.212766,0.0,0.618644,0.61745,0.654709,0.444444
9,0.241112,0.943095,0.636541,0.424065,0.936849,0.490834,8.91025e-05,0.490323,0.899713,0.0,0.492537,0.666667,0.416667,0.0,0.458667,0.724796,0.71134,0.538462
10,0.226019,0.947411,0.705761,0.419896,0.932078,0.471203,8.537e-05,0.479592,0.901883,0.0,0.42735,0.466667,0.25,0.0,0.520958,0.738636,0.62037,0.777778
11,0.197919,0.954697,0.745951,0.440677,0.943182,0.501626,8.11933e-05,0.528302,0.888273,0.153846,0.523985,0.583333,0.190476,0.0,0.559701,0.732558,0.657407,0.7
12,0.181061,0.959663,0.74701,0.511666,0.944743,0.487641,7.6625e-05,0.508197,0.890359,0.181818,0.527778,0.482759,0.186047,0.0,0.605042,0.732143,0.613546,0.636364
13,0.161399,0.963784,0.770052,0.493487,0.947953,0.533513,7.17225e-05,0.460526,0.888889,0.333333,0.5,0.666667,0.210526,0.0,0.636364,0.744745,0.677596,0.75
14,0.147881,0.969075,0.802629,0.567394,0.947779,0.501317,6.65474e-05,0.542636,0.887218,0.285714,0.475836,0.533333,0.272727,0.0,0.606061,0.719547,0.672897,0.518519
15,0.141692,0.970528,0.826385,0.563086,0.950035,0.510726,6.11649e-05,0.515152,0.890347,0.285714,0.502242,0.5,0.210526,0.0,0.642105,0.705234,0.666667,0.7
16,0.118248,0.975126,0.822229,0.611624,0.947866,0.494547,5.56426e-05,0.514706,0.890141,0.25,0.475,0.444444,0.235294,0.0,0.591133,0.720461,0.652174,0.666667
17,0.108227,0.977858,0.862294,0.635781,0.950729,0.510868,5.005e-05,0.557143,0.891767,0.133333,0.45977,0.461538,0.285714,0.0,0.59751,0.749245,0.66,0.823529
18,0.094105,0.980287,0.87836,0.688981,0.955847,0.523606,4.44574e-05,0.5,0.887477,0.153846,0.556701,0.470588,0.266667,0.0,0.673469,0.757282,0.670103,0.823529
19,0.092306,0.981263,0.889549,0.665221,0.955153,0.519689,3.89351e-05,0.542857,0.892562,0.153846,0.546341,0.5,0.153846,0.0,0.666667,0.729242,0.707692,0.823529
20,0.082637,0.983215,0.883717,0.696753,0.9555,0.500392,3.35526e-05,0.524823,0.903101,0.0,0.539535,0.47619,0.142857,0.0,0.647619,0.769737,0.676923,0.823529
21,0.07117,0.987335,0.908631,0.793165,0.953765,0.500368,2.83775e-05,0.48062,0.898793,0.153846,0.469945,0.461538,0.235294,0.0,0.635897,0.734426,0.655914,0.777778
1,0.894703,0.678348,0.13391,0.775025,0.820003,0.159721,1e-06,0.105263,0.626366,0.0,0.167401,0.0,0.0,0.0,0.243137,0.368821,0.24594,0.0
2,0.562836,0.865523,0.265107,0.449537,0.885496,0.372947,5.05e-05,0.236504,0.859345,0.153846,0.350282,0.307692,0.0,0.0,0.397229,0.653165,0.644351,0.5
3,0.475512,0.891807,0.374035,0.41936,0.911954,0.419197,0.0001,0.322835,0.850554,0.307692,0.414861,0.434783,0.153846,0.0,0.469274,0.638298,0.630137,0.388889
4,0.430462,0.898118,0.402769,0.380738,0.914382,0.433341,9.96859e-05,0.392694,0.872795,0.315789,0.43038,0.444444,0.175,0.0,0.501548,0.72067,0.592,0.321429
5,0.365564,0.909373,0.461999,0.370187,0.921409,0.469086,9.87476e-05,0.424242,0.89378,0.307692,0.436975,0.451613,0.208333,0.0,0.494048,0.682292,0.620968,0.64
6,0.326956,0.921322,0.537788,0.377135,0.93789,0.486121,9.7197e-05,0.5,0.87398,0.142857,0.509934,0.363636,0.244898,0.0,0.589372,0.719577,0.675799,0.727273
7,0.301816,0.926375,0.581421,0.410998,0.927221,0.431268,9.50534e-05,0.461538,0.896289,0.181818,0.475836,0.368421,0.178571,0.0,0.445623,0.678663,0.645418,0.411765
8,0.272827,0.936177,0.605216,0.376309,0.928782,0.479647,9.23439e-05,0.446602,0.898077,0.2,0.441926,0.368421,0.275862,0.0,0.558491,0.68984,0.596899,0.8
9,0.242306,0.941642,0.672515,0.424336,0.9267,0.485896,8.91025e-05,0.412281,0.892073,0.1,0.480226,0.636364,0.238095,0.0,0.467742,0.751515,0.604651,0.761905
10,0.224915,0.945329,0.702331,0.419626,0.931558,0.500755,8.537e-05,0.449761,0.880626,0.3,0.440367,0.444444,0.222222,0.0,0.552901,0.696809,0.67907,0.842105
11,0.20146,0.956107,0.755916,0.430305,0.937977,0.502917,8.11933e-05,0.523077,0.876877,0.266667,0.479705,0.48,0.3,0.0,0.522034,0.756923,0.631148,0.695652
12,0.18273,0.957473,0.74405,0.467139,0.939105,0.483172,7.6625e-05,0.512,0.874133,0.181818,0.489051,0.324324,0.258065,0.0,0.610169,0.730337,0.639344,0.695652
13,0.163656,0.963827,0.766197,0.506613,0.947085,0.531369,7.17225e-05,0.478528,0.889713,0.266667,0.528986,0.571429,0.25,0.0,0.605578,0.763407,0.648649,0.842105
14,0.15101,0.96734,0.805678,0.492568,0.946131,0.489404,6.65474e-05,0.447205,0.893411,0.111111,0.498168,0.521739,0.16,0.0,0.650206,0.753623,0.681319,0.666667
15,0.136998,0.970854,0.798825,0.604183,0.949948,0.500213,6.11649e-05,0.486957,0.889925,0.181818,0.522936,0.48,0.285714,0.0,0.629834,0.728863,0.62963,0.666667
16,0.116167,0.974345,0.834204,0.59524,0.950468,0.518082,5.56426e-05,0.548148,0.892483,0.095238,0.514056,0.571429,0.315789,0.0,0.590674,0.742515,0.666667,0.761905
17,0.109805,0.977576,0.861871,0.628026,0.952637,0.544542,5.005e-05,0.556522,0.890977,0.210526,0.538117,0.588235,0.285714,0.0,0.589744,0.749245,0.705882,0.875
18,0.1,0.979008,0.871624,0.585086,0.950815,0.54003,4.44574e-05,0.495575,0.894231,0.2,0.528736,0.545455,0.4,0.0,0.64455,0.729483,0.660194,0.842105
19,0.092927,0.981979,0.888279,0.727693,0.955413,0.570094,3.89351e-05,0.529915,0.879562,0.266667,0.517413,0.736842,0.375,0.0,0.676329,0.753086,0.694118,0.842105
20,0.084653,0.984689,0.905297,0.714156,0.956194,0.559258,3.35526e-05,0.537037,0.891791,0.266667,0.551111,0.7,0.333333,0.0,0.649682,0.748538,0.673684,0.8
21,0.082446,0.984473,0.886298,0.820558,0.953938,0.527571,2.83775e-05,0.46729,0.871749,0.222222,0.481481,0.608696,0.285714,0.0,0.636816,0.769716,0.681818,0.777778
22,0.072403,0.986489,0.917828,0.734704,0.958622,0.56212,2.3475e-05,0.553571,0.893813,0.25,0.533333,0.666667,0.352941,0.0,0.680203,0.778878,0.696133,0.777778
