epoch,train_loss,train_acc,train_f1,val_loss,val_acc,macro_f1,lr,f1_AKIEC,f1_BCC,f1_BEN_OTH,f1_BKL,f1_DF,f1_INF,f1_MAL_OTH,f1_MEL,f1_NV,f1_SCCKA,f1_VASC
1,1.30292,0.526483,0.147498,0.977756,0.575989,0.10615,1e-06,0.106157,0.472727,0.022989,0.12766,0.047619,0.020619,0.007018,0.173333,0.184915,0.0,0.004619
2,1.205038,0.567034,0.160699,0.948746,0.621617,0.133051,5.05e-05,0.130081,0.0,0.013793,0.118919,0.033149,0.053571,0.0,0.262295,0.491228,0.323144,0.037383
3,1.066222,0.644303,0.174906,0.841617,0.702464,0.176797,0.0001,0.166667,0.0,0.021505,0.179894,0.042328,0.111111,0.0,0.406593,0.673913,0.280255,0.0625
4,0.928703,0.702269,0.216854,0.738236,0.725885,0.202192,9.96859e-05,0.181208,0.0,0.056604,0.22335,0.048193,0.080645,0.0,0.41989,0.680628,0.450262,0.083333
5,0.817505,0.735406,0.217181,0.671561,0.749133,0.204479,9.87476e-05,0.162162,0.0,0.056075,0.237288,0.098765,0.136986,0.0,0.428571,0.680412,0.34375,0.105263
6,0.765256,0.764691,0.263789,0.664531,0.762665,0.219382,9.7197e-05,0.18,0.007874,0.09375,0.262997,0.055944,0.107527,0.0,0.430939,0.717391,0.394619,0.162162
7,0.711204,0.78016,0.291089,0.643595,0.772207,0.225486,9.50534e-05,0.195652,0.007874,0.090909,0.238636,0.058824,0.129032,0.0,0.430108,0.705263,0.401826,0.222222
8,0.690737,0.797809,0.329739,0.610186,0.769084,0.242575,9.23439e-05,0.162319,0.131868,0.105263,0.211765,0.228571,0.166667,0.0,0.429379,0.697917,0.334572,0.2
9,0.682993,0.791446,0.297693,0.585217,0.801353,0.257668,8.91025e-05,0.200803,0.169611,0.101695,0.270627,0.096386,0.114943,0.0,0.446927,0.724324,0.478261,0.230769
10,0.681908,0.796272,0.307676,0.588938,0.791638,0.262886,8.537e-05,0.178082,0.289474,0.12766,0.258258,0.087912,0.128205,0.0,0.435754,0.721311,0.415094,0.25
11,0.632503,0.80281,0.319502,0.581029,0.795628,0.258281,8.11933e-05,0.180602,0.238095,0.133333,0.25731,0.098765,0.147059,0.0,0.458824,0.725275,0.401826,0.2
12,0.623961,0.811235,0.339694,0.571552,0.799965,0.258163,7.6625e-05,0.179931,0.285714,0.108108,0.260606,0.129032,0.109091,0.0,0.446927,0.725275,0.372881,0.222222
13,0.630935,0.813006,0.346244,0.569715,0.805344,0.26094,7.17225e-05,0.209677,0.28,0.088889,0.252199,0.102564,0.123077,0.0,0.432749,0.724324,0.421569,0.235294
14,0.582521,0.812714,0.324077,0.556788,0.82009,0.28119,6.65474e-05,0.207469,0.28,0.142857,0.275,0.137931,0.101695,0.0,0.444444,0.712766,0.475138,0.315789
15,0.580283,0.81859,0.344176,0.546289,0.822866,0.282338,6.11649e-05,0.21097,0.300654,0.142857,0.292683,0.228571,0.148148,0.0,0.443182,0.725275,0.382609,0.230769
16,0.564283,0.833885,0.39022,0.54118,0.828938,0.295847,5.56426e-05,0.21645,0.393846,0.137931,0.277419,0.181818,0.101695,0.0,0.453488,0.713514,0.462366,0.315789
17,0.584577,0.817151,0.333123,0.535531,0.832408,0.297911,5.005e-05,0.217391,0.422961,0.166667,0.279863,0.166667,0.113208,0.0,0.441989,0.709677,0.485876,0.272727
18,0.571499,0.82579,0.366707,0.539237,0.8305,0.302988,4.44574e-05,0.202247,0.482558,0.090909,0.285714,0.235294,0.113208,0.0,0.451977,0.713514,0.457447,0.3
19,0.50669,0.835247,0.38396,0.528642,0.842991,0.312661,3.89351e-05,0.241546,0.507123,0.137931,0.287719,0.166667,0.126984,0.0,0.464286,0.712766,0.494253,0.3
20,0.566506,0.825304,0.351956,0.524911,0.845073,0.313622,3.35526e-05,0.242718,0.546961,0.153846,0.29434,0.121212,0.150943,0.0,0.453488,0.705882,0.480447,0.3
21,0.576649,0.828592,0.369653,0.523393,0.848369,0.321311,2.83775e-05,0.243902,0.561983,0.148148,0.300366,0.177778,0.142857,0.0,0.440678,0.714286,0.488636,0.315789
22,0.590914,0.840676,0.430703,0.530888,0.840736,0.323224,2.3475e-05,0.199203,0.531073,0.095238,0.299674,0.296296,0.137931,0.0,0.473373,0.712766,0.494118,0.315789
23,0.53715,0.82867,0.367624,0.515076,0.854441,0.330389,1.89067e-05,0.25641,0.597333,0.173913,0.303249,0.228571,0.122449,0.0,0.472727,0.709677,0.469945,0.3
24,0.525414,0.828378,0.364573,0.518948,0.850104,0.323531,1.473e-05,0.235849,0.561983,0.095238,0.301075,0.235294,0.145455,0.0,0.464286,0.705882,0.480447,0.333333
25,0.538644,0.835091,0.389009,0.522698,0.847155,0.318274,1.09975e-05,0.236967,0.539326,0.1,0.30137,0.228571,0.130435,0.0,0.441989,0.705882,0.483146,0.333333
26,0.515331,0.84089,0.408843,0.524031,0.84542,0.316454,7.7561e-06,0.228311,0.543417,0.1,0.294118,0.181818,0.115385,0.0,0.446927,0.705882,0.512195,0.352941
27,0.541421,0.840929,0.416512,0.519729,0.850278,0.32055,5.0466e-06,0.253807,0.547486,0.095238,0.292517,0.222222,0.148148,0.0,0.435754,0.705882,0.525,0.3
28,0.542069,0.829234,0.366063,0.519804,0.849237,0.321386,2.903e-06,0.243902,0.551532,0.1,0.304054,0.235294,0.156863,0.0,0.440678,0.705882,0.497041,0.3
29,0.563265,0.827288,0.355447,0.51946,0.848716,0.319574,1.3524e-06,0.245098,0.555556,0.1,0.29932,0.222222,0.16,0.0,0.440678,0.709677,0.482759,0.3
30,0.574191,0.825809,0.353955,0.519756,0.849237,0.320019,4.141e-07,0.247525,0.555556,0.1,0.29932,0.222222,0.156863,0.0,0.440678,0.709677,0.488372,0.3
